"Title","RPI All Items Index: Jan 1987=100"
"1993 MAY","141.1"
"1993 JUN","141.0"
"1993 JUL","140.7"
"1993 AUG","141.3"
"1993 SEP","141.9"
"1993 OCT","141.8"
"1993 NOV","141.6"
"1993 DEC","141.9"
"1994 JAN","141.3"
"1994 FEB","142.1"
"1994 MAR","142.5"
"1994 APR","144.2"
"1994 MAY","144.7"
"1994 JUN","144.7"
"1994 JUL","144.0"
"1994 AUG","144.7"
"1994 SEP","145.0"
"1994 OCT","145.2"
"1994 NOV","145.3"
"1994 DEC","146.0"
"1995 JAN","146.0"
"1995 FEB","146.9"
"1995 MAR","147.5"
"1995 APR","149.0"
"1995 MAY","149.6"
"1995 JUN","149.8"
"1995 JUL","149.1"
"1995 AUG","149.9"
"1995 SEP","150.6"
"1995 OCT","149.8"
"1995 NOV","149.8"
"1995 DEC","150.7"
"1996 JAN","150.2"
"1996 FEB","150.9"
"1996 MAR","151.5"
"1996 APR","152.6"
"1996 MAY","152.9"
"1996 JUN","153.0"
"1996 JUL","152.4"
"1996 AUG","153.1"
"1996 SEP","153.8"
"1996 OCT","153.8"
"1996 NOV","153.9"
"1996 DEC","154.4"
"1997 JAN","154.4"
"1997 FEB","155.0"
"1997 MAR","155.4"
"1997 APR","156.3"
"1997 MAY","156.9"
"1997 JUN","157.5"
"1997 JUL","157.5"
"1997 AUG","158.5"
"1997 SEP","159.3"
"1997 OCT","159.5"
"1997 NOV","159.6"
"1997 DEC","160.0"
"1998 JAN","159.5"
"1998 FEB","160.3"
"1998 MAR","160.8"
"1998 APR","162.6"
"1998 MAY","163.5"
"1998 JUN","163.4"
"1998 JUL","163.0"
"1998 AUG","163.7"
"1998 SEP","164.4"
"1998 OCT","164.5"
"1998 NOV","164.4"
"1998 DEC","164.4"
"1999 JAN","163.4"
"1999 FEB","163.7"
"1999 MAR","164.1"
"1999 APR","165.2"
"1999 MAY","165.6"
"1999 JUN","165.6"
"1999 JUL","165.1"
"1999 AUG","165.5"
"1999 SEP","166.2"
"1999 OCT","166.5"
"1999 NOV","166.7"
"1999 DEC","167.3"
"2000 JAN","166.6"
"2000 FEB","167.5"
"2000 MAR","168.4"
"2000 APR","170.1"
"2000 MAY","170.7"
"2000 JUN","171.1"
"2000 JUL","170.5"
"2000 AUG","170.5"
"2000 SEP","171.7"
"2000 OCT","171.6"
"2000 NOV","172.1"
"2000 DEC","172.2"
"2001 JAN","171.1"
"2001 FEB","172.0"
"2001 MAR","172.2"
"2001 APR","173.1"
"2001 MAY","174.2"
"2001 JUN","174.4"
"2001 JUL","173.3"
"2001 AUG","174.0"
"2001 SEP","174.6"
"2001 OCT","174.3"
"2001 NOV","173.6"
"2001 DEC","173.4"
"2002 JAN","173.3"
"2002 FEB","173.8"
"2002 MAR","174.5"
"2002 APR","175.7"
"2002 MAY","176.2"
"2002 JUN","176.2"
"2002 JUL","175.9"
"2002 AUG","176.4"
"2002 SEP","177.6"
"2002 OCT","177.9"
"2002 NOV","178.2"
"2002 DEC","178.5"
"2003 JAN","178.4"
"2003 FEB","179.3"
"2003 MAR","179.9"
"2003 APR","181.2"
"2003 MAY","181.5"
"2003 JUN","181.3"
"2003 JUL","181.3"
"2003 AUG","181.6"
"2003 SEP","182.5"
"2003 OCT","182.6"
"2003 NOV","182.7"
"2003 DEC","183.5"
"2004 JAN","183.1"
"2004 FEB","183.8"
"2004 MAR","184.6"
"2004 APR","185.7"
"2004 MAY","186.5"
"2004 JUN","186.8"
"2004 JUL","186.8"
"2004 AUG","187.4"
"2004 SEP","188.1"
"2004 OCT","188.6"
"2004 NOV","189.0"
"2004 DEC","189.9"
"2005 JAN","188.9"
"2005 FEB","189.6"
"2005 MAR","190.5"
"2005 APR","191.6"
"2005 MAY","192.0"
"2005 JUN","192.2"
"2005 JUL","192.2"
"2005 AUG","192.6"
"2005 SEP","193.1"
"2005 OCT","193.3"
"2005 NOV","193.6"
"2005 DEC","194.1"
"2006 JAN","193.4"
"2006 FEB","194.2"
"2006 MAR","195.0"
"2006 APR","196.5"
"2006 MAY","197.7"
"2006 JUN","198.5"
"2006 JUL","198.5"
"2006 AUG","199.2"
"2006 SEP","200.1"
"2006 OCT","200.4"
"2006 NOV","201.1"
"2006 DEC","202.7"
"2007 JAN","201.6"
"2007 FEB","203.1"
"2007 MAR","204.4"
"2007 APR","205.4"
"2007 MAY","206.2"
"2007 JUN","207.3"
"2007 JUL","206.1"
"2007 AUG","207.3"
"2007 SEP","208.0"
"2007 OCT","208.9"
"2007 NOV","209.7"
"2007 DEC","210.9"
"2008 JAN","209.8"
"2008 FEB","211.4"
"2008 MAR","212.1"
"2008 APR","214.0"
"2008 MAY","215.1"
"2008 JUN","216.8"
"2008 JUL","216.5"
"2008 AUG","217.2"
"2008 SEP","218.4"
"2008 OCT","217.7"
"2008 NOV","216.0"
"2008 DEC","212.9"
"2009 JAN","210.1"
"2009 FEB","211.4"
"2009 MAR","211.3"
"2009 APR","211.5"
"2009 MAY","212.8"
"2009 JUN","213.4"
"2009 JUL","213.4"
"2009 AUG","214.4"
"2009 SEP","215.3"
"2009 OCT","216.0"
"2009 NOV","216.6"
"2009 DEC","218.0"
"2010 JAN","217.9"
"2010 FEB","219.2"
"2010 MAR","220.7"
"2010 APR","222.8"
"2010 MAY","223.6"
"2010 JUN","224.1"
"2010 JUL","223.6"
"2010 AUG","224.5"
"2010 SEP","225.3"
"2010 OCT","225.8"
"2010 NOV","226.8"
"2010 DEC","228.4"
"2011 JAN","229.0"
"2011 FEB","231.3"
"2011 MAR","232.5"
"2011 APR","234.4"
"2011 MAY","235.2"
"2011 JUN","235.2"
"2011 JUL","234.7"
"2011 AUG","236.1"
"2011 SEP","237.9"
"2011 OCT","238.0"
"2011 NOV","238.5"
"2011 DEC","239.4"
"2012 JAN","238.0"
"2012 FEB","239.9"
"2012 MAR","240.8"
"2012 APR","242.5"
"2012 MAY","242.4"
"2012 JUN","241.8"
"2012 JUL","242.1"
"2012 AUG","243.0"
"2012 SEP","244.2"
"2012 OCT","245.6"
"2012 NOV","245.6"
"2012 DEC","246.8"
"2013 JAN","245.8"
"2013 FEB","247.6"
"2013 MAR","248.7"
"2013 APR","249.5"
"2013 MAY","250.0"
"2013 JUN","249.7"
"2013 JUL","249.7"
"2013 AUG","251.0"
"2013 SEP","251.9"
"2013 OCT","251.9"
"2013 NOV","252.1"
"2013 DEC","253.4"
"2014 JAN","252.6"
"2014 FEB","254.2"
"2014 MAR","254.8"
"2014 APR","255.7"
"2014 MAY","255.9"
"2014 JUN","256.3"
"2014 JUL","256.0"
"2014 AUG","257.0"
"2014 SEP","257.6"
"2014 OCT","257.7"
"2014 NOV","257.1"
"2014 DEC","257.5"
"2015 JAN","255.4"
"2015 FEB","256.7"
"2015 MAR","257.1"
"2015 APR","258.0"
"2015 MAY","258.5"
"2015 JUN","258.9"
"2015 JUL","258.6"
"2015 AUG","259.8"
"2015 SEP","259.6"
"2015 OCT","259.5"
"2015 NOV","259.8"
"2015 DEC","260.6"
"2016 JAN","258.8"
"2016 FEB","260.0"
"2016 MAR","261.1"
"2016 APR","261.4"
"2016 MAY","262.1"
"2016 JUN","263.1"
"2016 JUL","263.4"
"2016 AUG","264.4"
"2016 SEP","264.9"
"2016 OCT","264.8"
"2016 NOV","265.5"
"2016 DEC","267.1"
"2017 JAN","265.5"
"2017 FEB","268.4"
"2017 MAR","269.3"
"2017 APR","270.6"
"2017 MAY","271.7"
"2017 JUN","272.3"
"2017 JUL","272.9"
"2017 AUG","274.7"
"2017 SEP","275.1"
"2017 OCT","275.3"
"2017 NOV","275.8"
"2017 DEC","278.1"
"2018 JAN","276.0"
"2018 FEB","278.1"
"2018 MAR","278.3"
"2018 APR","279.7"
"2018 MAY","280.7"
"2018 JUN","281.5"
"2018 JUL","281.7"
"2018 AUG","284.2"
"2018 SEP","284.1"
"2018 OCT","284.5"
"2018 NOV","284.6"
"2018 DEC","285.6"
"2019 JAN","283.0"
"2019 FEB","285.0"
"2019 MAR","285.1"
"2019 APR","288.2"
"2019 MAY","289.2"
"2019 JUN","289.6"
"2019 JUL","289.5"
"2019 AUG","291.7"
"2019 SEP","291.0"
"2019 OCT","290.4"
"2019 NOV","291.0"
"2019 DEC","291.9"
"2020 JAN","290.6"
"2020 FEB","292.0"
"2020 MAR","292.6"
"2020 APR","292.6"
"2020 MAY","292.2"
"2020 JUN","292.7"
"2020 JUL","294.2"
"2020 AUG","293.3"
"2020 SEP","294.3"
"2020 OCT","294.3"
"2020 NOV","293.5"
"2020 DEC","295.4"
"2021 JAN","294.6"
"2021 FEB","296.0"
"2021 MAR","296.9"
"2021 APR","301.1"
"2021 MAY","301.9"
"2021 JUN","304.0"
"2021 JUL","305.5"
"2021 AUG","307.4"
"2021 SEP","308.6"
"2021 OCT","312.0"
"2021 NOV","314.3"
"2021 DEC","317.7"
"2022 JAN","317.7"
"2022 FEB","320.2"
"2022 MAR","323.5"
"2022 APR","334.6"
"2022 MAY","337.1"
"2022 JUN","340.0"
"2022 JUL","343.2"
"2022 AUG","345.2"
"2022 SEP","347.6"
"2022 OCT","356.2"
"2022 NOV","358.3"
"2022 DEC","360.4"
"2023 JAN","360.3"
"2023 FEB","364.5"
"2023 MAR","367.2"
"2023 APR","372.8"
"2023 MAY","375.3"
"2023 JUN","376.4"
"2023 JUL","374.2"
"2023 AUG","376.6"
"2023 SEP","378.4"
"2023 OCT","377.8"
